model,class,fruit,precision,recall,f1,support
catnet,Cherry purple leaf spot,Cherry,1.0,1.0,1.0,36
catnet,Cherry_shot hole disease,Cherry,0.9411764705882353,1.0,0.9696969696969697,16
catnet,Fig Blight_leaf disease,Fig,0.896551724137931,0.896551724137931,0.896551724137931,29
catnet,Fig Brown spot,Fig,0.8823529411764706,0.9375,0.9090909090909091,16
catnet,Fig normal leaf,Fig,1.0,1.0,1.0,22
catnet,Fig_rust leaf,Fig,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
catnet,Grape Anthracnose leaf,Grape,0.8222222222222222,0.9736842105263158,0.891566265060241,38
catnet,Grape Brown spot leaf,Grape,0.9130434782608695,0.875,0.8936170212765957,24
catnet,Grape Downy mildew leaf,Grape,0.8,0.8695652173913043,0.8333333333333334,23
catnet,Grape Mites_leaf disease,Grape,1.0,1.0,1.0,18
catnet,Grape Normal_leaf,Grape,1.0,0.9464285714285714,0.9724770642201835,56
catnet,Grape Powdery_mildew leaf,Grape,0.95,0.8444444444444444,0.8941176470588236,45
catnet,Grape shot hole leaf disease,Grape,1.0,1.0,1.0,32
catnet,Lokat Normal leaf,Loquat,1.0,1.0,1.0,19
catnet,lokat Leaf_spot,Loquat,1.0,1.0,1.0,30
catnet,Pear Black spot _ leaf disease,Pear,1.0,1.0,1.0,34
catnet,Pear Normal _leaf,Pear,1.0,1.0,1.0,29
catnet,Pear fire blight,Pear,1.0,1.0,1.0,14
catnet,Walnut Anthracnose_leaf disease,Walnut,1.0,1.0,1.0,25
catnet,Walnut Blotch_leaf disease,Walnut,0.9615384615384616,0.9803921568627451,0.970873786407767,51
catnet,Walnut Normal_leaf,Walnut,1.0,1.0,1.0,27
catnet,Walnut Shot_hole,Walnut,1.0,0.9428571428571428,0.9705882352941176,35
catnet,Walnut leaf gall mite,Walnut,0.875,1.0,0.9333333333333333,14
